ALLOT_NAME,ALLOT_NO,BLMDATA,GIS_ACRES,ADMIN_ST,ADM_OFC_CD,ADM_UNIT_C,ST_ALLOT,GlobalID,SHAPE_Leng,SHAPE_Area,FID,OBJECTID
Coonskin AMP,1123,1,42795.61188,ID,T01000,IDT01000,ID01123,{2FD67525-4CA5-45C3-BBE3-9AE7266D01EB},83128.37717,173188384.7,1928,280635
Turner Cedar Butte,1000,1,6210.546291,ID,T01000,IDT01000,ID01000,{346744F5-3706-42A5-A98F-1AA1052A2A04},33806.39315,25133288.97,1929,280636
Cedar Butte Devil Creek,1002,1,31970.60228,ID,T01000,IDT01000,ID01002,{375D1061-94AA-4415-B469-700833EE5EA8},64379.23607,129380951,1931,280638
Pigtail Butte,1125,1,30557.69172,ID,T01000,IDT01000,ID01125,{3A35579C-912D-45C6-B31A-1B688FA6AEB4},84775.33148,123663082.2,1934,280641
Roseworth Point,1014,1,12430.37171,ID,T01000,IDT01000,ID01014,{5685A647-0001-4A01-A0AB-C814837F4EBC},41777.72934,50304129.4,1936,280643
Conover,1126,1,17030.68579,ID,T01000,IDT01000,ID01126,{61F7C6DC-C959-431A-896F-EE6B8AE97F4D},66890.94919,68921013.92,1939,280646
Cedar Butte Eastside,1001,1,5113.339517,ID,T01000,IDT01000,ID01001,{66290B05-BE07-4ADF-BE04-D5BDC6B11712},33846.31379,20693033.05,1940,280647
Juniper Ranch,1031,1,39636.9358,ID,T01000,IDT01000,ID01031,{66E57E1C-A591-4256-B145-297156A7D4D4},82726.66432,160405625.3,1941,280648
Grassy Hills AMP,1121,1,26108.42359,ID,T01000,IDT01000,ID01121,{7CFF39D6-1FA4-4A85-BF1B-9F554AF841F6},67910.79999,105657461.3,1943,280650
Clover Crossing,1136,1,27724.78864,ID,T01000,IDT01000,ID01136,{A4139992-36CB-454E-9664-D5E84C1A6CE3},54478.21959,112198684.6,1948,280655
Roseworth Tract FFR,1009,1,7421.640738,ID,T01000,IDT01000,ID01009,{A4AB24AD-7C88-4883-81E8-FE9C7CCDB351},32932.57285,30034433.78,1949,280656
Grassy Windmill,1134,1,2401.113108,ID,T01000,IDT01000,ID01134,{A5D6CCA8-A6D5-46D4-9975-3A7462B29A04},16183.31916,9716998.597,1950,280657
Signal Butte,1092,1,11792.36082,ID,T01000,IDT01000,ID01092,{A87B1AC0-D65B-478C-9398-96B833C41143},45423.6277,47722180.66,1951,280658
Grassy Hills,1029,1,4908.659354,ID,T01000,IDT01000,ID01029,{C1D1ED59-9374-4C17-AC82-FBC986835028},19799.60897,19864718.53,1953,280660
Kinyon,1046,1,18276.46267,ID,T01000,IDT01000,ID01046,{DD835815-A852-48A8-965F-5DDFECFC63E6},45413.03801,73962514.09,1961,280668
Camas Slough,1095,1,1605.500617,ID,T01000,IDT01000,ID01095,{E3991B8D-2053-4B26-B2C7-B14D392EFB9F},10306.65814,6497256.291,1962,280669
Cedar Creek Canyon,1023,1,2631.897673,ID,T01000,IDT01000,ID01023,{FA656499-707E-4FC8-8055-0395B99DEDC3},14631.2283,10650954.31,1963,280670
Sands Basin,521,1,13481.28946,ID,B03000,IDB03000,ID00521,{96DA7474-2F49-4E1D-ACBC-56435B8EB9E5},31893.79187,54557059.51,1964,280671
